date,track_name,artist_name,rank,Last Week,peak_position,weeks_on_chart,Image URL,source_type,track_id,artist_id
2013-01-23,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,1,1,-,https://charts-static.billboard.com/img/2012/09/macklemore-ryan-lewis-79t-thriftshop-0bd-180x180.jpg,streaming_songs,3bA30uvYoSwHYFW4IOO2O4,1QRj3hoop9Mv5VvHQkwPEp
2013-01-23,Locked Out Of Heaven,Bruno Mars,2,2,1,-,https://charts-static.billboard.com/img/2012/10/bruno-mars-c75-lockedoutofheaven-fgw-180x180.jpg,streaming_songs,3w3y8KPTfNeOKPiqUTakBh,0du5cEVh5yTK9QJze8zA0C
2013-01-23,Diamonds,Rihanna,3,3,1,-,https://charts-static.billboard.com/img/2012/10/rihanna-k0p-diamonds-wld-180x180.jpg,streaming_songs,6O20JhBJPePEkBdrB5sqRx,5pKCCKE2ajJHZ9KAiaK11H
2013-01-23,Ho Hey,The Lumineers,4,4,1,-,https://charts-static.billboard.com/img/2012/04/the-lumineers-3ig-180x180.jpg,streaming_songs,0DwClY2t9YAWHBROMIgrXb,16oZKvXb6WkQlVAjwo2Wbg
2013-01-23,It's Time,Imagine Dragons,5,5,1,-,https://charts-static.billboard.com/img/1840/12/imagine-dragons-hy6-180x180.jpg,streaming_songs,7MXlTgQeo3IVlMpLnZuhxc,53XhwfbYqKCa1cC15pYq2q
2013-01-23,Don't You Worry Child,Swedish House Mafia Featuring John Martin,6,6,1,-,https://charts-static.billboard.com/img/2012/09/swedish-house-mafia-ep7-106x106.jpg,streaming_songs,4HRnEjQVsEH8zFzkV0porD,5yDFnbgbAd2nQMLy7OY0vl
2013-01-23,Radioactive,Imagine Dragons,7,7,1,-,https://charts-static.billboard.com/img/2012/08/imagine-dragons-ud7-radioactive-qrr-180x180.jpg,streaming_songs,62yJjFtgkhUrXktIoSjgP2,53XhwfbYqKCa1cC15pYq2q
2013-01-23,Swimming Pools (Drank),Kendrick Lamar,8,8,1,-,https://charts-static.billboard.com/img/2012/08/kendrick-lamar-atc-swimmingpoolsdrank-9i9-180x180.jpg,streaming_songs,6REbwUNlppTfcnV4d4ZoZi,2YZyLoL8N0Wb9xBt1NhZWg
2013-01-23,Scream & Shout,will.i.am & Britney Spears,9,9,1,-,https://charts-static.billboard.com/img/2012/12/william-eaz-106x106.jpg,streaming_songs,2iJuuzV8P9Yz0VSurttIV5,085pc2PYOi8bGKj0PNjekA
2013-01-23,F**kin Problems,A$AP Rocky Featuring Drake| 2 Chainz & Kendrick Lamar,10,10,1,-,https://charts-static.billboard.com/img/2011/12/aap-rocky-ai8-180x180.jpg,streaming_songs,6xon2TKhlpJCN8zP7tOp8C,7v49oVVUhvIQG5EK0jkcF7
2013-01-23,Some Nights,fun.,11,11,1,-,https://charts-static.billboard.com/img/2009/09/fun-0dk-180x180.jpg,streaming_songs,6t6oULCRS6hnI7rm0h5gwl,5nCi3BB41mBaMH9gfr6Su0
2013-01-23,Die Young,Ke$ha,12,12,1,-,https://charts-static.billboard.com/img/2012/10/kesha-1uk-dieyoung-tsg-180x180.jpg,streaming_songs,7EQGXaVSyEDsCWKmUcfpLk,6LqNN22kT3074XbTVUrhzX
2013-01-23,Gangnam Style,PSY,13,13,1,-,https://charts-static.billboard.com/img/2012/07/psy-auz-gangnam-style-gr3-180x180.jpg,streaming_songs,03UrZgTINDqvnUMbbIMhql,2dd5mrQZvg6SmahdgVKDzh
2013-01-23,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,14,14,1,-,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg,streaming_songs,6QFCMUUq1T2Vf5sFUXcuQ7,1uNFoZAHBGtllmzznpCI3s
2013-01-23,Sweet Nothing,Calvin Harris Featuring Florence Welch,15,15,1,-,https://charts-static.billboard.com/img/2012/10/calvin-harris-ffl-180x180.jpg,streaming_songs,4HRnEjQVsEH8zFzkV0porD,5yDFnbgbAd2nQMLy7OY0vl
2013-01-23,One More Night,Maroon 5,16,16,1,-,https://charts-static.billboard.com/img/1840/12/maroon-5-9st-180x180.jpg,streaming_songs,6cpk00i5TxCqSeqNi2HuIe,04gDigrS5kc9YWfZHwBETP
2013-01-23,Home,Phillip Phillips,17,17,1,-,https://charts-static.billboard.com/img/1840/12/phillip-phillips-75j-180x180.jpg,streaming_songs,1EAgPzRbK9YmdOESSMUm6P,6p5JxpTc7USNnBnLzctyd4
2013-01-23,The A Team,Ed Sheeran,18,18,1,-,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg,streaming_songs,1VdZ0vKfR5jneCmWIUAMxK,6eUKZXaKkcviH0Ku9w2n3V
2013-01-23,Little Talks,Of Monsters And Men,19,19,1,-,https://charts-static.billboard.com/img/2011/11/of-monsters-and-men-03q-little-talks-jig-180x180.jpg,streaming_songs,2ihCaVdNZmnHZWt0fvAM7B,4dwdTW1Lfiq0cM8nBAqIIz
2013-01-23,I Cry,Flo Rida,20,20,1,-,https://charts-static.billboard.com/img/2012/09/flo-rida-8v1-106x106.jpg,streaming_songs,4bZd0nRuX8HyjeXAUBczvm,0jnsk9HBra6NMjO2oANoPY
2013-01-23,We Are Never Ever Getting Back Together,Taylor Swift,21,21,1,-,https://charts-static.billboard.com/img/2006/07/taylor-swift-9sy-180x180.jpg,streaming_songs,5YqltLsjdqFtvqE7Nrysvs,06HL4z0CvFAxyc27GXpf02
2013-01-23,Clique,Kanye West| Jay-Z| Big Sean,22,22,1,-,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg,streaming_songs,65rRB2mspD309xE6YimZTl,5K4W6rqBFWDnAN6FQUkS6x
2013-01-23,Thinkin Bout You,Frank Ocean,23,23,1,-,https://charts-static.billboard.com/img/2011/05/frank-ocean-3ku-180x180.jpg,streaming_songs,7DfFc7a6Rwfi3YQMRbDMau,2h93pZq0e7k5yf4dywlkpM
2013-01-23,I Will Wait,Mumford & Sons,24,24,1,-,https://charts-static.billboard.com/img/2012/08/mumford-sons-miw-106x106.jpg,streaming_songs,5PRRthP9SLfbXB359MfIWv,3gd8FJtBJtkRxdfbTu19U2
2013-01-23,Lights,Ellie Goulding,25,25,1,-,https://charts-static.billboard.com/img/2011/08/ellie-goulding-4hg-lights-4go-180x180.jpg,streaming_songs,0LRCcpSgeozipxPpRg5wzx,0X2BH1fck6amBIoJhDVmmJ
2013-01-23,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,26,26,1,-,https://charts-static.billboard.com/img/2002/08/juicy-j-veb-180x180.jpg,streaming_songs,5rjSTavYoC1ydLUVGV8tQY,7kzqfJaU9Ci3UaIQvWtwPm
2013-01-23,No Worries,Lil Wayne Featuring Detail,27,27,1,-,https://charts-static.billboard.com/img/1999/05/lil-wayne-5az-180x180.jpg,streaming_songs,53EGPyagBvdM5MszwSrMMq,1lDIiGc7FwTu37MhPXN5Vj
2013-01-23,Girl On Fire,Alicia Keys Featuring Nicki Minaj,28,28,1,-,https://charts-static.billboard.com/img/2001/03/alicia-keys-c6f-180x180.jpg,streaming_songs,7Le7oUxjoXOh087jAKrJCF,0O8Q5C7YcMWghyISchsJsy
2013-01-23,We Are Young,fun. Featuring Janelle Monae,29,29,1,-,https://charts-static.billboard.com/img/2011/10/fun-0dk-weareyoung-siq-180x180.jpg,streaming_songs,1uv1c7IVCiudFIqYx9mlJt,4xtWjIlVuZwTCeqVAsgEXy
2013-01-23,I'm Different,2 Chainz,30,30,1,-,https://charts-static.billboard.com/img/2011/01/2-chainz-gor-180x180.jpg,streaming_songs,1odwi1SN3pJKENZe12U2OQ,17lzZA2AlOHwCwFALHttmp
2013-01-23,Call Me Maybe,Carly Rae Jepsen,31,31,1,-,https://charts-static.billboard.com/img/2008/08/carly-rae-jepsen-fhc-180x180.jpg,streaming_songs,20I6sIOMTCkB6w7ryavxtO,6sFIWsNpZYqfjUpaCgueju
2013-01-23,Somebody That I Used To Know,Gotye Featuring Kimbra,32,32,1,-,https://charts-static.billboard.com/img/2011/10/gotye-d4f-somebody-that-i-used-to-know-lme-180x180.jpg,streaming_songs,2Krb4gf4in7u0HYFLo8uI1,2e3x0vWFnHXi3CJcrvsFSs
2013-01-23,Little Things,One Direction,33,33,1,-,https://charts-static.billboard.com/img/2011/09/one-direction-rlp-180x180.jpg,streaming_songs,0TAmnCzOtqRfvA38DDLTjj,4AK6F7OLvEQ5QYCBNiQWHq
2013-01-23,Too Close,Alex Clare,34,34,1,-,https://charts-static.billboard.com/img/2012/03/alex-clare-gdw-106x106.jpg,streaming_songs,4VySpxhRGy32u5zPCprzDn,5Tf4EH8tDvznnjULcFxkIl
2013-01-23,As Long As You Love Me,Justin Bieber Featuring Big Sean,35,35,1,-,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg,streaming_songs,0lYBSQXN6rCTvUZvg9S0lU,540vIaP2JwjQb9dm3aArA4
2013-01-23,Hall Of Fame,The Script Featuring will.i.am,36,36,1,-,https://charts-static.billboard.com/img/2012/09/the-script-lb9-106x106.jpg,streaming_songs,3fVewicY46xJZfCZs2FllT,5BxMS9rhKHbSagaYFBICun
2013-01-23,Mercy,Kanye West| Big Sean| Pusha T| 2 Chainz,37,37,1,-,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg,streaming_songs,4qikXelSRKvoCqFcHLB2H2,5K4W6rqBFWDnAN6FQUkS6x
2013-01-23,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,38,38,1,-,https://charts-static.billboard.com/img/2005/08/ne-yo-d8a-180x180.jpg,streaming_songs,4kte3OcW800TPvOVgrLLj8,21E3waRsmPlU7jZsS13rcj
2013-01-23,Anything Could Happen,Ellie Goulding,39,39,1,-,https://charts-static.billboard.com/img/2012/09/ellie-goulding-1mr-180x180.jpg,streaming_songs,6bKetqXF3g4UgaXQlAYdgz,0X2BH1fck6amBIoJhDVmmJ
2013-01-23,Sail,AWOLNATION,40,40,1,-,https://charts-static.billboard.com/img/2011/02/awolnation-e35-sail-sgs-180x180.jpg,streaming_songs,7ueP5u2qkdZbIPN2YA6LR0,4njdEjTnLfcGImKZu1iSrz
2013-01-23,Adorn,Miguel,41,41,1,-,https://charts-static.billboard.com/img/2005/12/miguel-rp9-180x180.jpg,streaming_songs,5hJFhO9dvhJoDvUZZ9iWSw,360IAlyVv4PCEVjgyMZrxK
2013-01-23,Wanted,Hunter Hayes,42,42,1,-,#,streaming_songs,0f1svjHSiaCJif6noKKVHa,7H6dkUChT5EoOQtUVMg4cN
2013-01-23,Birthday Song,2 Chainz Featuring Kanye West,43,43,1,-,https://charts-static.billboard.com/img/2011/01/2-chainz-gor-180x180.jpg,streaming_songs,4lYNAMcsDInBmFuR0FaRcD,17lzZA2AlOHwCwFALHttmp
2013-01-23,Poetic Justice,Kendrick Lamar Featuring Drake,44,44,1,-,https://charts-static.billboard.com/img/2010/10/kendrick-lamar-atc-180x180.jpg,streaming_songs,5TZvzdjZfZI4us3SNmsO8I,3fyisNTUTwdCEm8NjWGKhf
2013-01-23,Love Sosa,Chief Keef,45,45,1,-,https://charts-static.billboard.com/img/2012/05/chief-keef-xbm-180x180.jpg,streaming_songs,01Lr5YepbgjXAWR9iOEyH1,15iVAtD3s3FsQR4w1v6M0P
2013-01-23,Try,P!nk,46,46,1,-,https://charts-static.billboard.com/img/2000/01/pnk-it7-180x180.jpg,streaming_songs,1jF7IL57ayN4Ity3jQqGu0,1KCSPY1glIKqW2TotWuXOR
2013-01-23,Stubborn Love,The Lumineers,47,47,1,-,https://charts-static.billboard.com/img/2012/04/the-lumineers-3ig-180x180.jpg,streaming_songs,4wG82w1L31yQhgGiWt6gIb,16oZKvXb6WkQlVAjwo2Wbg
2013-01-23,Titanium,David Guetta Featuring Sia,48,48,1,-,https://charts-static.billboard.com/img/2003/11/david-guetta-ruw-180x180.jpg,streaming_songs,5beOxa4wMl2mu8uJNgZMHK,1Cs0zKBU1kc0i8ypK3B9ai
2013-01-23,Whistle,Flo Rida,49,49,1,-,https://charts-static.billboard.com/img/2012/05/flo-rida-8v1-106x106.jpg,streaming_songs,3bC1ahPIYt1btJzSSEyyrF,0jnsk9HBra6NMjO2oANoPY
2013-01-23,Bitch; Don't Kill My Vibe,Kendrick Lamar,50,50,1,-,https://charts-static.billboard.com/img/2010/10/kendrick-lamar-atc-180x180.jpg,streaming_songs,0yhMmqax6HRAZxI7udEask,2YZyLoL8N0Wb9xBt1NhZWg
